GlobalId,IfcType,Name,Material,QuantityName,QuantityValue,MatchedUnitCost,CostUnit,CalculatedElementCost,CostBasis
0Mr6vY0jPDTRtp4MXIyyQU,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,650.0,50.0,m,32500.0,Length (650.00 m) * UnitCost (50.0)
1x4AMhoX5FCvaqi3Pl_pSD,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,650.0,90.0,m,58500.0,Length (650.00 m) * UnitCost (90.0)
1toAPIPJD7oPqBKCS6Nz$d,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,360.0,50.0,m,18000.0,Length (360.00 m) * UnitCost (50.0)
3F1ISapgvFFRkUizflbUfj,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,360.0,90.0,m,32400.0,Length (360.00 m) * UnitCost (90.0)
2JtUzxXCjFj9jo3oilNdf7,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,359.999927726,50.0,m,18000.0,Length (360.00 m) * UnitCost (50.0)
1bmmlgs9PEJOO_nbRCiVVf,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,359.999927726,90.0,m,32399.99,Length (360.00 m) * UnitCost (90.0)
23WtecHJX4cB$W9D3l89Gz,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,359.999927726,50.0,m,18000.0,Length (360.00 m) * UnitCost (50.0)
22UbO4brrFvQJCWjanZuvV,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,320.0,50.0,m,16000.0,Length (320.00 m) * UnitCost (50.0)
3zYx8Hv3PByAOvjIddv_ZR,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,1715.0,90.0,m,154350.0,Length (1715.00 m) * UnitCost (90.0)
22wVacMRr0RfER8E2O$vLe,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,81.5781322434,90.0,m,7342.03,Length (81.58 m) * UnitCost (90.0)
28HZd$WzTErO4P_xcWWr2R,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,68.7818212808,90.0,m,6190.36,Length (68.78 m) * UnitCost (90.0)
3INImExTrECfjOcTurcdR3,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,81.2918764141,90.0,m,7316.27,Length (81.29 m) * UnitCost (90.0)
0JRfJnbfHFgQD3Cu1Y3Ti9,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,68.7819207942,90.0,m,6190.37,Length (68.78 m) * UnitCost (90.0)
3i6YzLPHXAZOX3pEL9NEAY,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,81.5782440885,90.0,m,7342.04,Length (81.58 m) * UnitCost (90.0)
2S6$Rb90X6tvy86v8wMz92,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,777.999951864,90.0,m,70020.0,Length (778.00 m) * UnitCost (90.0)
0WbxJm47zCSxPd8I4EJBzV,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,143.774645522,50.0,m,7188.73,Length (143.77 m) * UnitCost (50.0)
0NsAQU_RzBew4mp1gDoLKM,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,777.999951864,50.0,m,38900.0,Length (778.00 m) * UnitCost (50.0)
3pWgo6GgjDmBfRg2bfmX7L,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,144.060706255,50.0,m,7203.04,Length (144.06 m) * UnitCost (50.0)
2Dd7N80nT6xvZLlvwl32zj,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,2449.99979229,50.0,m,122499.99,Length (2450.00 m) * UnitCost (50.0)
3aKP_9cLT3Ieogd56ggYoH,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,839.999953882,50.0,m,42000.0,Length (840.00 m) * UnitCost (50.0)
0odjMCkULFYPcxRhNspVwF,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1210.0,50.0,m,60500.0,Length (1210.00 m) * UnitCost (50.0)
2BnTMgxmnCCvzxNQCnUXN0,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,577.773489944,90.0,m,51999.61,Length (577.77 m) * UnitCost (90.0)
1exrUt$krCl8d_cqMo9LQ1,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,143.774502523,90.0,m,12939.71,Length (143.77 m) * UnitCost (90.0)
1K8DWpehnD0BEnccqnEzBM,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,81.5781322434,90.0,m,7342.03,Length (81.58 m) * UnitCost (90.0)
2PDIGVW1b4Nhx5UPa0fgz7,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,68.7818212808,90.0,m,6190.36,Length (68.78 m) * UnitCost (90.0)
2PNj2dMNT9wOnOYdNWAJQh,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,2340.00040234,50.0,m,117000.02,Length (2340.00 m) * UnitCost (50.0)
0bOXbgHd9B38fgrdG4v0Rg,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,777.999951864,50.0,m,38900.0,Length (778.00 m) * UnitCost (50.0)
1V$r0S$c98pPL1roHaiWvM,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1032.00017519,50.0,m,51600.01,Length (1032.00 m) * UnitCost (50.0)
3dF$AXDDD2JfNM4ZDuGS7e,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1000.0,50.0,m,50000.0,Length (1000.00 m) * UnitCost (50.0)
0V0wCK9cz2TfrOzWHZVy$k,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,3050.00004621,90.0,m,274500.0,Length (3050.00 m) * UnitCost (90.0)
2XddRbY_j3x8eYm8oLZNXR,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,141.022207372,50.0,m,7051.11,Length (141.02 m) * UnitCost (50.0)
2U35Nruyf1cfc5sAWDSOX1,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,144.060707481,50.0,m,7203.04,Length (144.06 m) * UnitCost (50.0)
3Gl09z0xrDMhikUUZFZdvs,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,143.774502523,50.0,m,7188.73,Length (143.77 m) * UnitCost (50.0)
0yqn783mn5b8lSBwRQAGYV,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,6000.00019374,90.0,m,540000.02,Length (6000.00 m) * UnitCost (90.0)
3_LAKs74TEqwOfhvpeA_i8,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,1063.08286672,90.0,m,95677.46,Length (1063.08 m) * UnitCost (90.0)
2ELxAjp9v3euJJCvWVVMtg,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,81.291876414,90.0,m,7316.27,Length (81.29 m) * UnitCost (90.0)
2XCsjo3zH3CAxHIt06QmUl,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,840.000046215,50.0,m,42000.0,Length (840.00 m) * UnitCost (50.0)
0npgzQizb9UOxmY2t29tNR,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,577.772326722,50.0,m,28888.62,Length (577.77 m) * UnitCost (50.0)
2RWoWcgO9EtBUuIPPuD7Ot,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,777.999951864,90.0,m,70020.0,Length (778.00 m) * UnitCost (90.0)
02XLK06DT5w8biXGZaesSW,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,1034.0,90.0,m,93060.0,Length (1034.00 m) * UnitCost (90.0)
